# occupying energies
-8491.40021667735 -8490.87900084336 
-8491.40021667735 -8490.92680651564 
-8491.40021667735 -8490.87102449975 
-8491.40021667735 -8490.91971187018 
-8491.40021667735 -8490.92853076027 
-8491.40021667735 -8490.95408225812 
-8491.40021667735 -8490.93546539305 
-8491.40021667735 -8490.93032848298 
-8491.40021667735 -8490.9165508457 
-8491.40021667735 -8490.92823073578 
-8491.40021667735 -8490.91624521987 
-8491.40021667735 -8490.91218381474 
-8491.40021667735 -8490.98000712858 
-8491.40021667735 -8490.97953977333 
-8491.40021667735 -8490.91643604526 
-8491.40021667735 -8490.87571883828 
-8491.40021667735 -8490.88397668966 
-8491.40021667735 -8490.88394573228 
-8491.40021667735 -8490.91305362638 
-8491.40021667735 -8490.87969409323 
-8491.40021667735 -8490.93114314039 
-8491.40021667735 -8491.02629954882 
-8491.40021667735 -8491.064993417 
-8491.40021667735 -8491.06482171257 
-8491.40021667735 -8491.02709151385 
-8491.40021667735 -8490.91296678571 
-8491.40021667735 -8490.96062839553 
-8491.40021667735 -8490.93184293971 
-8491.91993604988 -8491.40021667734 
-8491.40021667735 -8490.92391262246 
-8491.40021667735 -8490.91542397511 
-8491.40021667735 -8490.91684738893 
-8491.40021667735 -8490.91872078765 
-8491.91656612195 -8491.40021667734 
-8491.40021667735 -8490.9236068897 
-8491.91998681008 -8491.40021667734 
-8491.40021667735 -8490.96462650311 
-8491.40021667735 -8490.9666100773 
-8491.40021667735 -8490.93198418058 
-8491.40021667735 -8490.90822650619 
-8491.40021667735 -8490.88009203644 
-8491.40021667735 -8490.87578212788 
-8491.40021667735 -8490.88233290951 
-8491.40021667735 -8490.93178587825 
-8491.40021667735 -8490.9421266814 
-8491.40021667735 -8490.97587156435 
-8491.81447977108 -8491.40021667735 
-8491.40021667735 -8490.98044402434 
-8491.80656573563 -8491.40021667735 
-8491.40021667735 -8490.97626432667 
-8491.40021667735 -8490.88729962282 
-8491.40021667735 -8490.88763063911 
-8491.40021667735 -8490.92807939282 
-8491.40021667735 -8490.9646722807 
-8491.40021667735 -8490.93885862708 
-8491.40021667735 -8490.96460473241 
-8491.40021667735 -8490.90358731282 
-8491.40021667735 -8490.8844712803 
-8491.40021667735 -8490.96851820914 
-8491.40021667735 -8490.87427920022 
-8491.40021667735 -8490.91288783055 
-8491.40021667735 -8490.93556657037 
-8491.40021667735 -8490.99140023933 
-8491.40021667735 -8490.92694605918 
-8491.40021667735 -8490.87900848762 
-8491.40021667735 -8490.88253300041 
-8491.40021667735 -8490.95077047623 
-8491.86988977421 -8491.40021667735 
-8491.40021667735 -8491.02030591631 
-8491.40021667735 -8490.92945346684 
-8491.40021667735 -8490.91266016767 
-8491.40021667735 -8490.87791260424 
-8491.40021667735 -8490.94680328446 
-8491.40021667735 -8490.92301401186 
-8491.40021667735 -8490.88230619507 
-8491.40021667735 -8490.929037746 
-8491.40021667735 -8490.97003896414 
-8491.84438207483 -8491.40021667734 
-8491.40021667735 -8490.97306033225 
-8491.40021667735 -8490.87538413791 
-8491.40021667735 -8490.90810025535 
-8491.40021667735 -8490.93544546444 
-8491.40021667735 -8491.00901852156 
